tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0x6510220cf56b733c5e9e8cd0ba581ed288883f53bfc1f75531014b5cd4c1c0fb,0x60806040,2025/07/08 19:24:23,2025/07/08 11:24:23,0x0000000000000000000000000000000000000000,0xe738401d8d25e7782086da8eda5ad1f0d6535cfa,4900000000.0000000000,SUCCESS,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)"
0xb53958ca312077880a4e4b5fa966c6e16632f9783c1aae356049f2e07861279b,0xf305d719,2025/07/08 19:24:40,2025/07/08 11:24:40,0xe738401d8d25e7782086da8eda5ad1f0d6535cfa,0x39da1febad931a4072119d8f90043e098f63ae31,4900000000.0000000000,SUCCESS,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0x3434cc8cb7dbcf94aeef54ee0dad5d572ce64dd0e5d456ef3e5bfb73e92d12fc,0x7ff36ab5,2025/07/08 19:24:58,2025/07/08 11:24:58,0x39da1febad931a4072119d8f90043e098f63ae31,0xfbc84d40a37e43fa7d002d5c0029a95b6c48f50c,57507025.3208028078,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xafd104c5cd49e9af3c58d667cf4925fd1e444db9dcbbea75120865df3a37c878,0x7ff36ab5,2025/07/08 19:26:03,2025/07/08 11:26:03,0x39da1febad931a4072119d8f90043e098f63ae31,0xc85e26a15afed3cd8d2e8f6e93cf90ad273c5b9a,62789083.2687613517,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x66901c59c2da400d415237d7082359801f4565fa7cb52cb3e92a4497d2d6d4c6,0x7ff36ab5,2025/07/08 19:27:27,2025/07/08 11:27:27,0x39da1febad931a4072119d8f90043e098f63ae31,0x155384f5c0c2dc50f064d8f0ce5c4e44a0d9c3a8,33974064.7653709874,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x314de3ca98dac44d82ce894ee4b9dd5c88c444404f1aecd0a5cafe0979cd6da9,0x7ff36ab5,2025/07/08 19:28:25,2025/07/08 11:28:25,0x39da1febad931a4072119d8f90043e098f63ae31,0x990dfe4fcc74ef9da93eaf81345d5e28d5ef6b72,36204333.2027785257,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xe37da3cd96d7fd875025fa67fad3e493c89517dfe95465f901cd40a7ba3780ec,0x7ff36ab5,2025/07/08 19:29:41,2025/07/08 11:29:41,0x39da1febad931a4072119d8f90043e098f63ae31,0x11201a12d7697bed7e92948bf24c742cd099c87f,64681144.4243978336,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x8216db4d6a0c85188a83d836cf986455b6a9850b19f4461bd944c477c4561165,0x7ff36ab5,2025/07/08 19:30:48,2025/07/08 11:30:48,0x39da1febad931a4072119d8f90043e098f63ae31,0xfbc84d40a37e43fa7d002d5c0029a95b6c48f50c,42050456.7515142858,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x8b9258b20936c7dd287bf954e303293c4bcadd48d5b4f872f55a278186de79bb,0x7ff36ab5,2025/07/08 19:31:39,2025/07/08 11:31:39,0x39da1febad931a4072119d8f90043e098f63ae31,0xc85e26a15afed3cd8d2e8f6e93cf90ad273c5b9a,37859731.6363531724,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x6e4664084c88ec90e8232f5516f2d119a7aebd4aaa024c4f0845e75279050596,0x7ff36ab5,2025/07/08 19:32:59,2025/07/08 11:32:59,0x39da1febad931a4072119d8f90043e098f63ae31,0x155384f5c0c2dc50f064d8f0ce5c4e44a0d9c3a8,17921825.0269134752,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
