tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0x8e0e29c7765c297b610f956169b9221f08bb6d12d14f0637b25f8aca3578f8f9,0x60806040,2025/07/08 19:47:19,2025/07/08 11:47:19,0x0000000000000000000000000000000000000000,0x8fe3b665fb3ed4fd840f512271a48aaf2b1359dc,1000000.0000000000,SUCCESS,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)"
0x219d2af61afd06c2ab101dd1e9f2ab170fc0973f82aa0e7c8e7bc18cec7bd701,0xf305d719,2025/07/08 19:47:26,2025/07/08 11:47:26,0x8fe3b665fb3ed4fd840f512271a48aaf2b1359dc,0x9ee5312ce9e53e8b4f41c5fda927a096f2108664,1000000.0000000000,SUCCESS,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0xd9f0fbc6889ead93a8e9f8c27e9ebfec727f72dc4770a1303765aa85612fb2db,0x38ed1739,2025/07/08 19:47:38,2025/07/08 11:47:38,0x9ee5312ce9e53e8b4f41c5fda927a096f2108664,0x7e19b4d5f94250e7b5f441455d090ea806a2da70,15757.5978284660,SUCCESS,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xcc557e5e97bfccc0203078a73e77d3e478750037d133430843c54dbf101c035d,0x088890dc,2025/07/08 19:47:44,2025/07/08 11:47:44,0x9ee5312ce9e53e8b4f41c5fda927a096f2108664,0x1f2d955cc70c8ae5f9e0656c51ce321d69a32873,1808.4331800889,SUCCESS,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline, address referrer)"
0x50809f6d9e124e2d638964c3411036162aa3ce1df81ba45b084f80fe712eacd8,0x38ed1739,2025/07/08 19:48:02,2025/07/08 11:48:02,0x9ee5312ce9e53e8b4f41c5fda927a096f2108664,0x3cd2ba370fafa917c1ffe8676f663b1f61d3b83d,33297.2913779661,SUCCESS,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x75d318010ad3b667af4c9861eaaa4c9b1e8bd36a793c71faf7f10e6d2aeab9ef,0xbaa2abde,2025/07/08 19:48:06,2025/07/08 11:48:06,0x9ee5312ce9e53e8b4f41c5fda927a096f2108664,0x8fe3b665fb3ed4fd840f512271a48aaf2b1359dc,949117.0824012652,SUCCESS,"removeLiquidity(address tokenA, address tokenB, uint256 liquidity, uint256 amountAMin, uint256 amountBMin, address to, uint256 deadline)"
0x184b164d5a75511c0e04239d43ca439a7a2fa2dd497ae3bd075418be2f8b5ff7,0x38ed1739,2025/07/08 19:48:33,2025/07/08 11:48:33,0x3cd2ba370fafa917c1ffe8676f663b1f61d3b83d,0x9ee5312ce9e53e8b4f41c5fda927a096f2108664,9989.1874133898,SUCCESS,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xd6a5cb87ed90a5f8d288f6ebdcf273832aee883e020c8dc2dc0a281f6401d943,0xb6f9de95,2025/07/08 19:48:38,2025/07/08 11:48:38,0x9ee5312ce9e53e8b4f41c5fda927a096f2108664,0xb21a7d6b07ad608202c5c057031a034bf4166b38,9929.3421915962,SUCCESS,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x642977f098893b18deb0ab360e5fc6e5836506d00c3ca5e4ed694c4bbb49d146,0x181a8b99,2025/07/08 19:50:27,2025/07/08 11:50:27,0x9ee5312ce9e53e8b4f41c5fda927a096f2108664,0x426603bac5e0ea73fd13aecad7a80c9f963f6eac,63.6277536443,SUCCESS,
0x0405a89408189107a7ea20571c38358f4e926520614f078da9cddd6db7553ed5,0xcce04763,2025/07/08 19:50:54,2025/07/08 11:50:54,0x9ee5312ce9e53e8b4f41c5fda927a096f2108664,0x18e31a59caeae97fa9a30a20df3f72a130147752,4.9768752667,SUCCESS,
