tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0xd3209e97d77a44a97566626d36cf76ea25214963c4d5c7edd4aa0e33fb5bfe5a,0x0ba6324e,2025/07/07 15:13:10,2025/07/07 07:13:10,0x0000000000000000000000000000000000000000,0xe2ce6ab80874fa9fa2aae65d277dd6b8e65c9de0,1000000000.0000000000,SUCCESS,newTokenV2(tuple )
0x4390665c601e2857d544a6f085ae786202c84f296384b9ef4039e4107d7ab136,0xef7ec2e7,2025/07/07 15:13:10,2025/07/07 07:13:10,0xe2ce6ab80874fa9fa2aae65d277dd6b8e65c9de0,0xf3f1eab9d49fafb62053ba63bf9493be9a829f90,58483254.1831589043,SUCCESS,swapExactInput(tuple )
0x1785781e1a45b9c87b6c36915a04cfbbb4923b0442c012fc048ae5d60fca68ba,0xef7ec2e7,2025/07/07 15:13:10,2025/07/07 07:13:10,0xe2ce6ab80874fa9fa2aae65d277dd6b8e65c9de0,0xc441f5b6d734b94985e652aff030965d1ce18c07,52020627.5779010952,SUCCESS,swapExactInput(tuple )
0x991c6f74a260c27f8cc2f29049e176e7498a023a09e95c2e40111e3cce12a00e,0xef7ec2e7,2025/07/07 15:13:10,2025/07/07 07:13:10,0xe2ce6ab80874fa9fa2aae65d277dd6b8e65c9de0,0x2cabddf31b9b87e45476bc658215275b60cf2c0a,52549967.3542879224,SUCCESS,swapExactInput(tuple )
0x16a8848e451751021f5b1a9218ad226bc7d22f145379b16b564f2fc2db621945,0xef7ec2e7,2025/07/07 15:13:10,2025/07/07 07:13:10,0xe2ce6ab80874fa9fa2aae65d277dd6b8e65c9de0,0xfd52f1e0de43ff870c43c052dba779df7ae5e997,46687198.8312432170,SUCCESS,swapExactInput(tuple )
0xc29d5258a13078c71acfbd2ec5252f8d2deae17f00d5ef128da927acdef6a7e4,0xef7ec2e7,2025/07/07 15:13:10,2025/07/07 07:13:10,0xe2ce6ab80874fa9fa2aae65d277dd6b8e65c9de0,0x7fd8d33bd9b345206850a37e5043d8e63bf8964e,51125689.2826643437,SUCCESS,swapExactInput(tuple )
0x73f0da85d46a996eca45b67802dfd2812f63bf436e5ae3691addd33e378e224f,0xef7ec2e7,2025/07/07 15:13:10,2025/07/07 07:13:10,0xe2ce6ab80874fa9fa2aae65d277dd6b8e65c9de0,0x986f4694d0f53fec38f5fb8cb4abf0d80deb5b4e,44912511.6794294938,SUCCESS,swapExactInput(tuple )
0x60eb2ecd7b95a69602054d89ac0738df5623a37be1e26bb915e9eb02203b734c,0xef7ec2e7,2025/07/07 15:13:10,2025/07/07 07:13:10,0xe2ce6ab80874fa9fa2aae65d277dd6b8e65c9de0,0x056c5220d52f9b88309a69f83595f3914549ac5a,46944747.4251437336,SUCCESS,swapExactInput(tuple )
0x78b82b431bcd9ddc61d8e2b438cd72cb1c54cf609a4ce9205978cd022df9f5b2,0xef7ec2e7,2025/07/07 15:13:10,2025/07/07 07:13:10,0xe2ce6ab80874fa9fa2aae65d277dd6b8e65c9de0,0x1ba6dda560d5aeccbd65c96d5bd80c94decb4262,40997872.3608787209,SUCCESS,swapExactInput(tuple )
0x9e3581160b2739c78e8b9594bbe918db8374311370cedf29307b145851652bad,0xef7ec2e7,2025/07/07 15:13:10,2025/07/07 07:13:10,0xe2ce6ab80874fa9fa2aae65d277dd6b8e65c9de0,0xfed2e920fbe14f56ba280afa8fdea3d5bc4e953f,38763143.2344576120,SUCCESS,swapExactInput(tuple )
