tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0x5e8101e24b34c924fc6bd5d05afc0333738a97ee06ea9fd36dfdea9ca06d21d8,0x60806040,2025/07/08 05:33:39,2025/07/07 21:33:39,0x0000000000000000000000000000000000000000,0x9dd9da8f253ac267fd10ec9f63821321f791fa74,1000000.0000000000,SUCCESS,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)"
0x363ab9e8d10ce193808531622b8cc983fe9661ef0c67c8c3147f63c270efff1c,0xf305d719,2025/07/08 05:33:45,2025/07/07 21:33:45,0x9dd9da8f253ac267fd10ec9f63821321f791fa74,0x868464cf47a8bc54603bde514cc424451631faf7,1000000.0000000000,SUCCESS,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0xcbecbb787a7e7aca0b4fc381e9c34b2a870a980f59990bf93c17123c7ba9c139,0xb6f9de95,2025/07/08 05:33:46,2025/07/07 21:33:46,0x868464cf47a8bc54603bde514cc424451631faf7,0x954f3748a343fecc0ef4e2b40c625c57913f5fb8,132.5400670331,SUCCESS,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x753d7e960119cec8214df345234b49164d6285127df771acfa643400751d6f65,0x38ed1739,2025/07/08 05:33:57,2025/07/07 21:33:57,0x868464cf47a8bc54603bde514cc424451631faf7,0x874f112d6b1d68fb6a546104e7742d90d84252a7,13732.6599456905,SUCCESS,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xdff51b228f057d6532c5f19a1521af4b52a8c0a2cbfe7ba23ab940245a884dfc,0x38ed1739,2025/07/08 05:34:09,2025/07/07 21:34:09,0x868464cf47a8bc54603bde514cc424451631faf7,0xdf47a9d06f98b3caf309ea6677d187ac8b7b1953,22719.8823687004,SUCCESS,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xccecd6b66de19dec9dd4423983e4074a53bf4091539529a7c0cb2f76ad749d80,0x38ed1739,2025/07/08 05:34:20,2025/07/07 21:34:20,0x868464cf47a8bc54603bde514cc424451631faf7,0xa8dd260a0326c7cca644eb7c345d19345d74ae6e,24825.0031303290,SUCCESS,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x457c9b289fde5b8a9552267dedd55ac05e0ed470e542549622db500bc2f556e8,0x38ed1739,2025/07/08 05:34:31,2025/07/07 21:34:31,0x868464cf47a8bc54603bde514cc424451631faf7,0xaac0a7dfe1cdef71f3e4db255f42c1cbc6156c51,16338.2636842211,SUCCESS,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x117009f10c3ced79297206c95067068afdd6bb35e251d6b0166307fe46b12e4e,0x5c11d795,2025/07/08 05:34:54,2025/07/07 21:34:54,0x874f112d6b1d68fb6a546104e7742d90d84252a7,0x868464cf47a8bc54603bde514cc424451631faf7,8078.0352621709,SUCCESS,"swapExactTokensForTokensSupportingFeeOnTransferTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x4f8418cd06f316f836ae5b065d2b82db196db52b9764a05c2cf4d4ef0aff443a,0x5c11d795,2025/07/08 05:35:11,2025/07/07 21:35:11,0xa8dd260a0326c7cca644eb7c345d19345d74ae6e,0x868464cf47a8bc54603bde514cc424451631faf7,14602.9430178406,SUCCESS,"swapExactTokensForTokensSupportingFeeOnTransferTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xe41a06bd0e7ecb36fe0d3c888a41d57659e39b658de8f185a1067c8cd08fc0d1,0x5b9e9006,2025/07/08 05:35:13,2025/07/07 21:35:13,0x868464cf47a8bc54603bde514cc424451631faf7,0x564c1a13d4991f0128db4f83134204632608a09b,220.2203545663,SUCCESS,"swapV2ExactIn(address token_in,address token_out,uint256 amount_in,uint256 amount_out_min,address pool_address)"
