tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0xad81415a7259f50e4efee55309f04392cf67e6fdf82b3258af97661f34083cfc,0x60806040,2025/06/07 10:32:30,2025/06/07 02:32:30,0x0000000000000000000000000000000000000000,0x9b0051d6c230de003059ff36519bf6631e73b1b6,50000000.0000000000,SUCCESS,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)"
0xb04f1e1c63d45b403408c58912d1b7e4d0956e7a637e07bc86b0020ef0e84ba6,0xf305d719,2025/06/07 10:33:49,2025/06/07 02:33:49,0x9b0051d6c230de003059ff36519bf6631e73b1b6,0xbc95f87949479df17c91ac4c67d293f648be2c22,49500000.0000000000,SUCCESS,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0x34099f4609f05ba8721f6a3bbc7c5753bf019a1068a28d681757569704ce8497,0xa3d4e927,2025/06/07 10:34:07,2025/06/07 02:34:07,0xbc95f87949479df17c91ac4c67d293f648be2c22,0xe1cadcaab195f95bf9a6653ffa31f09e42ec2b02,1627282.8130244098,SUCCESS,
0x7f87669a7b7e6dd7e2613efd4df04b01a807911ea76bf02772f33b760c0aa58d,0x7ff36ab5,2025/06/07 10:34:10,2025/06/07 02:34:10,0xbc95f87949479df17c91ac4c67d293f648be2c22,0xd7783ee4390775c3402aaa77fa8f299de5192ab3,1119053.9709318199,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xf950b695f872acdeebcf23853006ac92f2a26959df06b5e0176f3b44cafe486f,0x7ff36ab5,2025/06/07 10:34:25,2025/06/07 02:34:25,0xbc95f87949479df17c91ac4c67d293f648be2c22,0x5f6bb7f409860643e6d5ca9ccda6c9b758364338,2902882.1011488400,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x163d545c58df944aaced3742f58ccece54b875bf692d51d17ffe4261b9bac07c,0x18cbafe5,2025/06/07 10:34:48,2025/06/07 02:34:48,0xd7783ee4390775c3402aaa77fa8f299de5192ab3,0xbc95f87949479df17c91ac4c67d293f648be2c22,373017.9903106066,SUCCESS,"swapExactTokensForETH(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x21d37343bb387c109c9b9e3dce5470f504b7c1039da2e5d8591bf909aa238eb1,0x18cbafe5,2025/06/07 10:35:10,2025/06/07 02:35:10,0x5f6bb7f409860643e6d5ca9ccda6c9b758364338,0xbc95f87949479df17c91ac4c67d293f648be2c22,967627.3670496134,SUCCESS,"swapExactTokensForETH(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xe0b500530ed697550dccce94dcfc8c5876fea5c6de2c3c26cf74058782c61a3f,0x7ff36ab5,2025/06/07 10:35:25,2025/06/07 02:35:25,0xbc95f87949479df17c91ac4c67d293f648be2c22,0x8876fe5d7161f64bfbbe777ba6e4bc63aa500bdb,2069413.1600308826,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xfed6800afccdb06960bc9d5ac76e6d3328b44a8fd5c3cdc02a4e6158834b9514,0x7ff36ab5,2025/06/07 10:35:42,2025/06/07 02:35:42,0xbc95f87949479df17c91ac4c67d293f648be2c22,0xd7783ee4390775c3402aaa77fa8f299de5192ab3,173160.7578793018,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x995f83c82d90ad76978bb1b98145a25fe739921116fcaf811c9d598c42918ddd,0x7ff36ab5,2025/06/07 10:35:57,2025/06/07 02:35:57,0xbc95f87949479df17c91ac4c67d293f648be2c22,0x2bac1e19a883a1bceb66e4c2a04bbd7141a770d3,2426572.8891938254,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x691bbb9f76005bd96fac83b920d8b48997ebf5db695990be16cd824d67046319,0x7ff36ab5,2025/06/07 10:36:10,2025/06/07 02:36:10,0xbc95f87949479df17c91ac4c67d293f648be2c22,0x01ba72c70dee81483f8e9581bbb3919cb7ea7592,2056980.8162444301,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xcf18d2b566d944a91dc1527c612225d4c5d33b4458ebaaa05d9e885a3ca10983,0x18cbafe5,2025/06/07 10:36:22,2025/06/07 02:36:22,0xd7783ee4390775c3402aaa77fa8f299de5192ab3,0xbc95f87949479df17c91ac4c67d293f648be2c22,229799.1846251287,SUCCESS,"swapExactTokensForETH(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
