tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0x2d275fd5043b1fa96163620ba063315482cb8baeac2524f5d2a6635c98bf66ee,0x519ebb10,2025/06/07 07:31:17,2025/06/06 23:31:17,0x0000000000000000000000000000000000000000,0x757eba15a64468e6535532fcf093cef90e226f85,1000000000.0000000000,SUCCESS,"createToken(bytes code, bytes poolsCode)"
0x2d275fd5043b1fa96163620ba063315482cb8baeac2524f5d2a6635c98bf66ee,0x519ebb10,2025/06/07 07:31:17,2025/06/06 23:31:17,0x757eba15a64468e6535532fcf093cef90e226f85,0x5c952063c7fc8610ffdb798152d69f0b9550762b,1000000000.0000000000,SUCCESS,"createToken(bytes code, bytes poolsCode)"
0x2d275fd5043b1fa96163620ba063315482cb8baeac2524f5d2a6635c98bf66ee,0x519ebb10,2025/06/07 07:31:17,2025/06/06 23:31:17,0x5c952063c7fc8610ffdb798152d69f0b9550762b,0x51b7ecccee65e20afe4a875d7efba9539b2637d2,94400963.2771445364,SUCCESS,"createToken(bytes code, bytes poolsCode)"
0x337b184c49a597e23b89476e18847d77685d92985ae5fae8ac6cbf2811327582,0xb61f5e46,2025/06/07 07:31:17,2025/06/06 23:31:17,0x5c952063c7fc8610ffdb798152d69f0b9550762b,0x0133428b7f5af3393009572fe0a35884ad7beca3,39259856.7908907831,SUCCESS,
0x77711483f414208b8dbffc1a5985be6442974c2d0f7fe22e16e8a55da68a4da8,0x9c2cc41d,2025/06/07 07:31:18,2025/06/06 23:31:18,0x0133428b7f5af3393009572fe0a35884ad7beca3,0x5c952063c7fc8610ffdb798152d69f0b9550762b,39259856.7908907831,SUCCESS,
0x15b7d541efc4155aba7487baab6e5706353905b9d704b90628ff20cbf86e2613,0x87f27655,2025/06/07 07:31:20,2025/06/06 23:31:20,0x5c952063c7fc8610ffdb798152d69f0b9550762b,0xe84bfeb6b55b520a265f3468956f22575635ae68,10645932.6607523859,SUCCESS,"buyTokenAMAP(address token,uint256 funds,uint256 minAmount)"
0x7ec8c0bf1234ca615bc3ff26b76ce66c6766b106a99f500f8ce21ed5c323ecca,0xe671499b,2025/06/07 07:31:20,2025/06/06 23:31:20,0x5c952063c7fc8610ffdb798152d69f0b9550762b,0x77d1090019d7cf992468ced29ca4a58e4c1b9a73,1100000.0000000000,SUCCESS,"buyToken(address _to, uint256 amtIn, uint256 amtOut)"
0x77a7e8be859f954f366353750ae9c032ca7bfe15f9866f20fa622ea79ff7ad6f,0x7771fdb0,2025/06/07 07:31:26,2025/06/06 23:31:26,0x5c952063c7fc8610ffdb798152d69f0b9550762b,0xa0be0e465b1aa3990bfafdc20e3ee35dd5ae9eb6,94004934.0510175973,SUCCESS,"buyMemeToken(address tokenManager,address token,address recipient,uint256 funds,uint256 minAmount)"
0x387153c3c6035fb1304ded0ca522a4e6970e55a7a0083198977c5758238683b4,0xf464e7db,2025/06/07 07:31:45,2025/06/06 23:31:45,0x77d1090019d7cf992468ced29ca4a58e4c1b9a73,0x5c952063c7fc8610ffdb798152d69f0b9550762b,1100000.0000000000,SUCCESS,"sellToken(address userAddress, uint256 tokenQty)"
0xc7d4576d1f03f4a87a6d059192ca936acc8b8911ac40277f4ce81aa805a5e2c2,0x87f27655,2025/06/07 07:32:14,2025/06/06 23:32:14,0x5c952063c7fc8610ffdb798152d69f0b9550762b,0x0a79bd741176002147349fe275d67d5d49994588,1809706.5181582409,SUCCESS,"buyTokenAMAP(address token,uint256 funds,uint256 minAmount)"
0xc974c926a63cf14c91bee79c7fc0cc686320ad4fb833cd6f9ea06630408c539d,0x7771fdb0,2025/06/07 07:32:21,2025/06/06 23:32:21,0x5c952063c7fc8610ffdb798152d69f0b9550762b,0xb6a27302cea537d41f66ad3dbab897a7485847d9,8392194.8874932230,SUCCESS,"buyMemeToken(address tokenManager,address token,address recipient,uint256 funds,uint256 minAmount)"
0x00244666de11d5780f9c54b89c8a6f50263b271b0b3575e252d85992e91c51e5,0xf464e7db,2025/06/07 07:38:23,2025/06/06 23:38:23,0xb6a27302cea537d41f66ad3dbab897a7485847d9,0x5c952063c7fc8610ffdb798152d69f0b9550762b,8392194.8874932230,SUCCESS,"sellToken(address userAddress, uint256 tokenQty)"
0x61206298074d16e8aa9200277775f4760aa241654078fc9ca5bfb3edf2d02dbe,0xe5e8894b,2025/06/07 07:39:47,2025/06/06 23:39:47,0x5c952063c7fc8610ffdb798152d69f0b9550762b,0x42bf38e1a6d67bbfd84411e17bb92f6d32996d95,854222.3138728410,SUCCESS,"proxySwapV2(address router,uint256 fromTokenWithFee,uint256 fromAmt,uint256 toTokenWithFee,uint256 minReturnAmt,bytes callData)"
0x09e011a86c803929f044f3991729d5e3bc2f46a658aa8746746303b2aff0458f,0x3e11741f,2025/06/07 07:39:59,2025/06/06 23:39:59,0xe84bfeb6b55b520a265f3468956f22575635ae68,0x5c952063c7fc8610ffdb798152d69f0b9550762b,10645932.6607523859,SUCCESS,"sellToken(address to_, uint256 amount, uint256 bonusAmount)"
0xe717744da923a5ea91ac1dad77ac89333a431c4d5ad7b17ac2c7fa0370eb967e,0x0da74935,2025/06/07 07:40:02,2025/06/06 23:40:02,0x51b7ecccee65e20afe4a875d7efba9539b2637d2,0x5c952063c7fc8610ffdb798152d69f0b9550762b,94400963.2771445364,SUCCESS,"sellToken(uint256 origin,address token,uint256 amount,uint256 minFunds)"
0x2a7fdac7343fb7d93574a69385f2301f98890d9d8af2ac9c8ab00302384ccbfe,0x87f27655,2025/06/07 07:53:29,2025/06/06 23:53:29,0x5c952063c7fc8610ffdb798152d69f0b9550762b,0x0a79bd741176002147349fe275d67d5d49994588,836986.3683657160,SUCCESS,"buyTokenAMAP(address token,uint256 funds,uint256 minAmount)"
0xd908aa52b5814bb0d870a2d11cfa2d8c4951eb7ca6d26785c613ecf1af0059ed,0xda1368ff,2025/06/07 07:54:08,2025/06/06 23:54:08,0x5c952063c7fc8610ffdb798152d69f0b9550762b,0x2381401dcd6efcc5eb87532b5d7cf1bf5e462058,50216674.7676072046,SUCCESS,
0x268c3ffb2552c05568e8cffce573518bf15a84329a1ec514faab9047d94fc4ed,0xb27d049c,2025/06/07 07:54:38,2025/06/06 23:54:38,0x5c952063c7fc8610ffdb798152d69f0b9550762b,0xcec06e30894e4a4d15cfe9273f918c514a6c857e,62794732.4246734455,SUCCESS,"MaestroBuy(address token,uint256 minAmountOut)"
0xd7e8aabfd3b7db084aa794c7766fdfe200f2c5b70808c79f80c99cffad579782,0xda1368ff,2025/06/07 07:54:38,2025/06/06 23:54:38,0x5c952063c7fc8610ffdb798152d69f0b9550762b,0x7bead1ed226b9d83db0c3cce98ae08b840d869d6,4119693.8726099050,SUCCESS,
0x279ab8719e977b5b4d91a8e8eac56475fb6d16cee7bb7687a801359668c47d94,0x9892208d,2025/06/07 07:54:39,2025/06/06 23:54:39,0x5c952063c7fc8610ffdb798152d69f0b9550762b,0xc7a3e5f76cc2924f5f202ee375f8b576ac8f58ba,8203830.7442985130,SUCCESS,
0xb8d035985fc59f6c6b176262b5946e217895deb8f81ed5106102ff5b30cefbe6,0x28ab44d8,2025/06/07 07:54:45,2025/06/06 23:54:45,0xcec06e30894e4a4d15cfe9273f918c514a6c857e,0x5c952063c7fc8610ffdb798152d69f0b9550762b,62794732.4246734455,SUCCESS,"MaestroSell(address token,uint256 amountIn,uint256 minAmountOut)"
0x1c3618efaa5fe92ff048ce6cfe578cd3d830058128cfe7e7b92f83ea305159f9,0xc373ea91,2025/06/07 07:54:47,2025/06/06 23:54:47,0xc7a3e5f76cc2924f5f202ee375f8b576ac8f58ba,0x5c952063c7fc8610ffdb798152d69f0b9550762b,8203830.7442985130,SUCCESS,
0xd3f573e2792c59b52ca23dfade1cfafa0792d9a386a7eac14916e5a261a647ea,0xb27d049c,2025/06/07 07:54:57,2025/06/06 23:54:57,0x5c952063c7fc8610ffdb798152d69f0b9550762b,0x00a5d1d4dc3245c3d330d6c7d05d492640bd69b3,18688716.6158371381,SUCCESS,"MaestroBuy(address token,uint256 minAmountOut)"
0x05cc59df3712b9b1375e7554a6b0f59e0f69790af10eac84b2b412b33ddb5ac8,0x0162e2d0,2025/06/07 07:55:15,2025/06/06 23:55:15,0x5c952063c7fc8610ffdb798152d69f0b9550762b,0x2e8120278c0ce654afec3475bb87fbd102baa4c0,82378235.8366808146,SUCCESS,0x0162e2d0
0xc9991600bc18a1cce2fb9700488adcb8bff029b299927d1e3ad41f5a108dbf09,0xbc73ddf0,2025/06/07 07:55:26,2025/06/06 23:55:26,0x5c952063c7fc8610ffdb798152d69f0b9550762b,0x501fccd6bf367925d2c096425c741d19a5c46b10,43030425.5189790875,SUCCESS,
0x1b88ee73198e3d619ed2031f35672844066cf303c08bde4c6b6053deba33becd,0xb27d049c,2025/06/07 07:55:26,2025/06/06 23:55:26,0x5c952063c7fc8610ffdb798152d69f0b9550762b,0x7535e85e7e5e7a3a3701d5ca18a72c8b2a31ab24,32529310.6846728325,SUCCESS,"MaestroBuy(address token,uint256 minAmountOut)"
0xebcd1194c54ee445c67f0d3014deecbae5a5c8dd8c89740446b1938b361ea909,0xbc73ddf0,2025/06/07 07:55:26,2025/06/06 23:55:26,0x501fccd6bf367925d2c096425c741d19a5c46b10,0x5c952063c7fc8610ffdb798152d69f0b9550762b,43030425.5189790875,SUCCESS,
