tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0x414ef7327a2de73b5055a06daec5e8fc7f30a9d0456c062f425577e00177f5e8,0x60806040,2025/07/05 01:49:26,2025/07/04 17:49:26,0x0000000000000000000000000000000000000000,0x4279d10fa8a74077532adcac06e5453ccf71b3e9,900000000000.0000000000,SUCCESS,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)"
0xf5157901713257ac8cb6e829318d5f6b6e8b0e28e7aba16ead2a35b0524900df,0xf305d719,2025/07/05 01:57:16,2025/07/04 17:57:16,0x4279d10fa8a74077532adcac06e5453ccf71b3e9,0x9132001717679c146704d12379b5a398b3848503,1.0000000000,SUCCESS,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0x62a21fa5b3651ba1e47a6f2ec5cb2ec4370ac8ef1ec0fdc8a714c0a543985b32,0xf305d719,2025/07/05 01:58:53,2025/07/04 17:58:53,0x4279d10fa8a74077532adcac06e5453ccf71b3e9,0x9132001717679c146704d12379b5a398b3848503,2.0653063592,SUCCESS,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0xcfdd237bab4e6f77a7b49eca41fba64e3362ce7174bd5c2bb825ca7bc004336b,0xf305d719,2025/07/05 01:59:51,2025/07/04 17:59:51,0x4279d10fa8a74077532adcac06e5453ccf71b3e9,0x9132001717679c146704d12379b5a398b3848503,9.9999660372,SUCCESS,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0xdffb9c30dacc2299f751c0f662c4d9266b570b0477a3023ae678f24d469c046e,0xf305d719,2025/07/05 02:00:47,2025/07/04 18:00:47,0x4279d10fa8a74077532adcac06e5453ccf71b3e9,0x9132001717679c146704d12379b5a398b3848503,13.9999524520,SUCCESS,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0x580757d84a504333f3ab1cf42bd971e5d29131586f98fd3665b98f8639f18fd4,0xf305d719,2025/07/05 02:01:52,2025/07/04 18:01:52,0x4279d10fa8a74077532adcac06e5453ccf71b3e9,0x9132001717679c146704d12379b5a398b3848503,4.9999830186,SUCCESS,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0x7f25aab7e3665739b9a4eee048b6d93249b9afe3662670cb6249479ef4c39c86,0xf305d719,2025/07/05 02:02:26,2025/07/04 18:02:26,0x4279d10fa8a74077532adcac06e5453ccf71b3e9,0x9132001717679c146704d12379b5a398b3848503,4.9999830186,SUCCESS,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0xccd533dcbab78116efb4b3b5a6f6fd5055eb30465e2bd45d131653f7e29316f6,0xf305d719,2025/07/05 02:04:25,2025/07/04 18:04:25,0x4279d10fa8a74077532adcac06e5453ccf71b3e9,0x9132001717679c146704d12379b5a398b3848503,2.9999898111,SUCCESS,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0x944d03bd564534c4e7bdf2b1bb7cc51e4a70b0b23cd45d8f2fc1bdc6a952f74c,0xf305d719,2025/07/05 02:05:12,2025/07/04 18:05:12,0x4279d10fa8a74077532adcac06e5453ccf71b3e9,0x9132001717679c146704d12379b5a398b3848503,3.9999864149,SUCCESS,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0x7d052f91c202ea12774d7fc88c75ab560f397523bdaf2234262bdefcd23b5a44,0xf305d719,2025/07/05 02:06:01,2025/07/04 18:06:01,0x4279d10fa8a74077532adcac06e5453ccf71b3e9,0x9132001717679c146704d12379b5a398b3848503,9.9999660372,SUCCESS,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
