tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0xe9771c4d3f3e1042e5f2fda46aa44368e0fe00a7b45bd56042f722822a8a1c0f,0x809b11b1,2024/06/12 17:24:43,2024/06/12 09:24:43,0x0000000000000000000000000000000000000000,0x72ffaec6a0d5a9edd02f29da0a36bf17384b6b0e,1000000000.0000000000,SUCCESS,
0x735a254a4f3203adab5ea38320aa1c633d3561d11bc84b68afa65b832c17da4d,0xa9059cbb,2024/06/12 18:02:51,2024/06/12 10:02:51,0x72ffaec6a0d5a9edd02f29da0a36bf17384b6b0e,0x000000000000000000000000000000000000dead,300000000.0000000000,SUCCESS,"transfer(address dst, uint256 amount)"
0x28d76752cd28ebd9d13267e68e78ec5e3769e8959574301a5fbe9d502b3df5b3,0xa9059cbb,2024/06/12 18:03:18,2024/06/12 10:03:18,0x72ffaec6a0d5a9edd02f29da0a36bf17384b6b0e,0xe1008772cf44d59e13bae4668b6e638cf2b61047,2000000.0000000000,SUCCESS,"transfer(address dst, uint256 amount)"
0x3bb615b30407aae2ab9a9bda7ade3703b0981ce1688291aafd894892478ea278,0x07279357,2024/06/12 18:04:18,2024/06/12 10:04:18,0x72ffaec6a0d5a9edd02f29da0a36bf17384b6b0e,0x407993575c91ce7643a4d4ccacc9a98c36ee1bbe,498000000.0000000000,SUCCESS,"lock(address owner, address token, bool isLpToken, uint256 amount, uint256 unlockDate, string description)"
0x78919505dc67d86472fad14908e0ee05ff38bae4350ea6c8f3fa7dafd6b86295,0xe8e33700,2024/06/12 18:12:06,2024/06/12 10:12:06,0x72ffaec6a0d5a9edd02f29da0a36bf17384b6b0e,0xcbdf495bc1e40765aa3967bf68bb52558c0afaf2,200000000.0000000000,SUCCESS,"addLiquidity(address tokenA, address tokenB, uint256 amountADesired, uint256 amountBDesired, uint256 amountAMin, uint256 amountBMin, address to, uint256 deadline)"
0xa58abbac9bb831e1171abfa50c09f684f09d2fcc5b0184ff41f065a4b2f10c28,0xb6f9de95,2024/06/12 18:17:45,2024/06/12 10:17:45,0xcbdf495bc1e40765aa3967bf68bb52558c0afaf2,0xbd38c47348f7d107528b0a8a5837ab0913625478,99700.2744880990,SUCCESS,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x8d8372d73f3b5e5944e3a131444b98b9c146f8b854f2b0b88f1cf359a2b3adef,0xc2636142,2024/06/12 18:18:30,2024/06/12 10:18:30,0xbd38c47348f7d107528b0a8a5837ab0913625478,0x038d0155755af8273b5624310f96016760689666,41.6069657900,SUCCESS,"Ox7c025200(address[] receivers,uint256[] amounts)"
0x8d8372d73f3b5e5944e3a131444b98b9c146f8b854f2b0b88f1cf359a2b3adef,0xc2636142,2024/06/12 18:18:30,2024/06/12 10:18:30,0xbd38c47348f7d107528b0a8a5837ab0913625478,0x7c680f4e9c6baf45c414cff555a3bac7e00bfc50,22.9467850550,SUCCESS,"Ox7c025200(address[] receivers,uint256[] amounts)"
0x8d8372d73f3b5e5944e3a131444b98b9c146f8b854f2b0b88f1cf359a2b3adef,0xc2636142,2024/06/12 18:18:30,2024/06/12 10:18:30,0xbd38c47348f7d107528b0a8a5837ab0913625478,0xcd7d85172fe10fe9bed16096aaa35c1ef3be1cde,11.4028297770,SUCCESS,"Ox7c025200(address[] receivers,uint256[] amounts)"
0x8d8372d73f3b5e5944e3a131444b98b9c146f8b854f2b0b88f1cf359a2b3adef,0xc2636142,2024/06/12 18:18:30,2024/06/12 10:18:30,0xbd38c47348f7d107528b0a8a5837ab0913625478,0xff73cd153b166b064f3f7aab2384686df3c38142,24.0944815790,SUCCESS,"Ox7c025200(address[] receivers,uint256[] amounts)"
