tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0x08893df3b7d842b67c141112b43822ff77dcd467b2ea93fe262cd48809d71f0f,0xbf93b9bf,2025/07/03 20:31:31,2025/07/03 12:31:31,0x0000000000000000000000000000000000000000,0xf1fd44fd4f4360c1c92f736f1472c1bbdd95460c,100000000.0000000000,SUCCESS,
0x08893df3b7d842b67c141112b43822ff77dcd467b2ea93fe262cd48809d71f0f,0xbf93b9bf,2025/07/03 20:31:31,2025/07/03 12:31:31,0xf1fd44fd4f4360c1c92f736f1472c1bbdd95460c,0xb44ea272f317e379567ce54acd94a2891597024e,1000000.0000000000,SUCCESS,
0x08893df3b7d842b67c141112b43822ff77dcd467b2ea93fe262cd48809d71f0f,0xbf93b9bf,2025/07/03 20:31:31,2025/07/03 12:31:31,0xf1fd44fd4f4360c1c92f736f1472c1bbdd95460c,0xe3913dad18888f047e46429b3f347f11f0dc9ca2,99000000.0000000000,SUCCESS,
0x68070501a2dbe6c878b758fe5498d5beda2cd782d9e710e57335d2b097fe1b5e,0xf305d719,2025/07/03 20:33:55,2025/07/03 12:33:55,0xe3913dad18888f047e46429b3f347f11f0dc9ca2,0x29042c70136a05211d0309bf04dd6b9fe8bb97d4,20000000.0000000000,SUCCESS,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0x135ec3c375f8a58da77703fc8fa045e2fb20569a3bca5793853d6f16f097915f,0xa9059cbb,2025/07/03 20:35:52,2025/07/03 12:35:52,0xe3913dad18888f047e46429b3f347f11f0dc9ca2,0x000000000000000000000000000000000000dead,74000000.0000000000,SUCCESS,"transfer(address dst, uint256 amount)"
0xe6d1d579c8a33043ef0fc114c64cbd74a86d90c2c81a40151290f6595d5700b5,0x38ed1739,2025/07/03 20:39:42,2025/07/03 12:39:42,0x29042c70136a05211d0309bf04dd6b9fe8bb97d4,0x055eff672a4fde70043e6d17c27ce8187dcf2ee7,1812400.5000000000,SUCCESS,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xdf82902ca2e437140e621496b994a0942d2f98a54767422920f917309654d7f8,0xac9650d8,2025/07/03 20:41:25,2025/07/03 12:41:25,0x29042c70136a05211d0309bf04dd6b9fe8bb97d4,0xf891e955453b9ea23003a330eefcea4bba670b86,6840112.5999999996,SUCCESS,multicall(bytes[] data)
0x0010d4520bc3292897b6127cab1c3cb7c8bd48add8ce374220bad2ff4a2552e4,0xac9650d8,2025/07/03 20:42:05,2025/07/03 12:42:05,0x29042c70136a05211d0309bf04dd6b9fe8bb97d4,0x8afcf3cfcc9ca1eca6d2d87d9db89a98247bc027,1156717.5000000000,SUCCESS,multicall(bytes[] data)
0x6e96b0f11fbb17331b27413a4c84b84b1d71d6f6b7c6e54ed40d92d26b5ce8dc,0x0dc4bdae,2025/07/03 20:42:37,2025/07/03 12:42:37,0x29042c70136a05211d0309bf04dd6b9fe8bb97d4,0xc1873a144de564d5fa39182485694e848f32d1a1,942267.5000000000,SUCCESS,"exactInputV2Swap(tuple exactInput,uint256 deadline)"
0xc79e2849bdb5ca2a758dacd87aca3432e39ed43899f01b846059047acf03cf64,0x38ed1739,2025/07/03 20:46:05,2025/07/03 12:46:05,0x055eff672a4fde70043e6d17c27ce8187dcf2ee7,0x29042c70136a05211d0309bf04dd6b9fe8bb97d4,1812400.5000000000,SUCCESS,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
