tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0x420b3e141e7990932095c3ca7f6d6cc7da9c51aa937a483923b05476b67abe64,0x60806040,2025/07/08 18:09:37,2025/07/08 10:09:37,0x0000000000000000000000000000000000000000,0xfe9306cea3e2cee84c5bf71b7ed4af5274ad9238,7700000000.0000000000,SUCCESS,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)"
0x0a3ab384813d8ed23f5f30bddd6d94ff4f4dbe1d332cb4cfb671b37b83f22390,0xf305d719,2025/07/08 18:09:58,2025/07/08 10:09:58,0xfe9306cea3e2cee84c5bf71b7ed4af5274ad9238,0xd7400249498390523c2caa438e984e8d45ca383a,7700000000.0000000000,SUCCESS,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0x4abbfea91abdc142ca243d3f32fe93e49c938f569c96a825fbf4bcac1a8c5164,0x7ff36ab5,2025/07/08 18:10:16,2025/07/08 10:10:16,0xd7400249498390523c2caa438e984e8d45ca383a,0xfbc84d40a37e43fa7d002d5c0029a95b6c48f50c,65810530.3233475834,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x4cb8077aea747c623e218d8d9c05f10c51d5e4e236d820e587c3cd325e65c504,0x3593564c,2025/07/08 18:10:39,2025/07/08 10:10:39,0xd7400249498390523c2caa438e984e8d45ca383a,0x9f8fa66d1b218ee2ffc75454f71fea014462a6ff,595994.8360343910,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0x1b26dc9cfc917e2c221f907105dbe6aef8e5858fa87d63f5aef6b443f6f4274e,0x02751cec,2025/07/08 18:10:48,2025/07/08 10:10:48,0xd7400249498390523c2caa438e984e8d45ca383a,0x10ed43c718714eb63d5aa57b78b54704e256024e,7633567073.6940460205,SUCCESS,"removeLiquidityETH(address token, uint256 liquidity, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0x1b26dc9cfc917e2c221f907105dbe6aef8e5858fa87d63f5aef6b443f6f4274e,0x02751cec,2025/07/08 18:10:48,2025/07/08 10:10:48,0x10ed43c718714eb63d5aa57b78b54704e256024e,0xfe9306cea3e2cee84c5bf71b7ed4af5274ad9238,7633567073.6940460205,SUCCESS,"removeLiquidityETH(address token, uint256 liquidity, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0xb3cf2571913ce57ce6d550f50216b514c67743a4680e83e315c6a00a3714def5,0x181a8b99,2025/07/08 18:13:51,2025/07/08 10:13:51,0xd7400249498390523c2caa438e984e8d45ca383a,0x426603bac5e0ea73fd13aecad7a80c9f963f6eac,13184.0519175087,SUCCESS,
0x49c5bb0657b3371c9b44698047434b7b7498af1361aeae34de961a7ee33c89e5,0x18cbafe5,2025/07/08 19:39:11,2025/07/08 11:39:11,0xfbc84d40a37e43fa7d002d5c0029a95b6c48f50c,0xd7400249498390523c2caa438e984e8d45ca383a,65810530.3233475834,SUCCESS,"swapExactTokensForETH(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xcaa15d576167642d44040620724eaa53b5c85993b5097279b2c9f4aa24fe8ae3,0xb6f9de95,2025/07/08 19:39:15,2025/07/08 11:39:15,0xd7400249498390523c2caa438e984e8d45ca383a,0xb21a7d6b07ad608202c5c057031a034bf4166b38,65416259.4361805692,SUCCESS,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x3a60d36a5415bdc687e2dc3993bc2cb48e872259fdd2d9f9e7ff51f7b62b09f1,0xcce04763,2025/07/08 19:41:10,2025/07/08 11:41:10,0xd7400249498390523c2caa438e984e8d45ca383a,0x18e31a59caeae97fa9a30a20df3f72a130147752,174387.9564675722,SUCCESS,
0x5feb804086780a13553f9d750cda89cef4b72767262c6fe4f10869de2e1598ad,0x181a8b99,2025/07/08 19:41:46,2025/07/08 11:41:46,0xd7400249498390523c2caa438e984e8d45ca383a,0x426603bac5e0ea73fd13aecad7a80c9f963f6eac,408.9675308088,SUCCESS,
