tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0xf67b3900e7f7300e0eeac81125f947d128f422caf325060c16b042744db035b4,0xa9059cbb,2025/07/08 00:16:05,2025/07/07 16:16:05,0x51eaf82d49c795cc239f81fba628165de67b832d,0xe610ab3156861e9c7b70666aad09c7af4d52cb2e,100000000000000.0000000000,SUCCESS,"transfer(address dst, uint256 amount)"
0x4fcd7b44630d27eae3a2567ae871a58dad28d358f0e7bb6fb0ae94268b7274c1,0xf305d719,2025/07/08 00:17:02,2025/07/07 16:17:02,0xe610ab3156861e9c7b70666aad09c7af4d52cb2e,0x81eaa2f455b65d14b7ee9f38556d7e729cae3fab,100000000000000.0000000000,SUCCESS,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0xdb136703b35dac0d15fd96427c63b475e417581b04ad72845a700d3af7a9e311,0x3593564c,2025/07/08 00:18:02,2025/07/07 16:18:02,0x81eaa2f455b65d14b7ee9f38556d7e729cae3fab,0xe1a201af06858a94e8c1b962a2b18b1f166fd2cb,119556890402.1885833740,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0xd89356aca194a4b9d77b67062e8c5d65d636e9aa0d3dbe7648e22db8a421896d,0x7ff36ab5,2025/07/08 00:20:01,2025/07/07 16:20:01,0x81eaa2f455b65d14b7ee9f38556d7e729cae3fab,0xe948af1c4eb6f7c3b65d26a6c7b353cca5c7905a,1567198741622.9316406250,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x8c0ea26b8af9075e528455a3e31432dc9e2c2bce06a7be7a612bb9e0f87a73b3,0x7ff36ab5,2025/07/08 00:21:14,2025/07/07 16:21:14,0x81eaa2f455b65d14b7ee9f38556d7e729cae3fab,0xee651ff193635f0a9b5300175d8e9ba9b207f6d9,2991229564040.1079101562,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x12ab7bd89e981bffe6fe471463ff3c183ada9f6445eb621a06bcad1e4a10ffea,0x18cbafe5,2025/07/08 00:22:17,2025/07/07 16:22:17,0xe948af1c4eb6f7c3b65d26a6c7b353cca5c7905a,0x81eaa2f455b65d14b7ee9f38556d7e729cae3fab,1567198741622.9316406250,SUCCESS,"swapExactTokensForETH(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xa062fcf7a790dbc7172aa75e4891e4d5287cbe9a577b79a278cb972924d32eaf,0x7ff36ab5,2025/07/08 00:26:14,2025/07/07 16:26:14,0x81eaa2f455b65d14b7ee9f38556d7e729cae3fab,0x41d91c20a61464c72b68f1b941d23ac39355609e,2906155366800.2114257812,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xfbbeddd72be87f43e1efcf06242dffddbf4a4f2dbb2cf1cb3f947ab6ab3ccd48,0x7ff36ab5,2025/07/08 00:28:00,2025/07/07 16:28:00,0x81eaa2f455b65d14b7ee9f38556d7e729cae3fab,0xc80f68042099aa38b561a3f0d064c4e1834f9345,420922495799.5039062500,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xf4408da1c009b1f03265bd34ccd721c657c2f993ec5f3f379781701ea85024ea,0x18cbafe5,2025/07/08 00:29:27,2025/07/07 16:29:27,0x41d91c20a61464c72b68f1b941d23ac39355609e,0x81eaa2f455b65d14b7ee9f38556d7e729cae3fab,2906155366800.2114257812,SUCCESS,"swapExactTokensForETH(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x594e13367db955a75cd5d87c8731249218dc77990cc34ad9b0611d08ae729b71,0x7ff36ab5,2025/07/08 00:30:25,2025/07/07 16:30:25,0x81eaa2f455b65d14b7ee9f38556d7e729cae3fab,0xda5eeef71ce9892b79b0215e771153f84930a653,1462275779836.6533203125,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
