tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0x26ce1582a36c5dacada023247fa7dc4c401ce5ef6ba943629b0d967b3a5adce4,0x60806040,2025/07/07 21:16:34,2025/07/07 13:16:34,0x0000000000000000000000000000000000000000,0x1f06c9f1cab1e5e1b6dcaee38df501b8fa596413,100000000.0000000000,SUCCESS,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)"
0x7540395c9e1ccf83e6b6623c087a82d2b5effb1e0875c251f827434f1f20fdca,0xa9059cbb,2025/07/07 21:17:53,2025/07/07 13:17:53,0x1f06c9f1cab1e5e1b6dcaee38df501b8fa596413,0x99b21b994993f94a7d100308352bb139f3b9a8bf,100000000.0000000000,SUCCESS,"transfer(address dst, uint256 amount)"
0xb85c3018720b32f9fc21815579a22ac2edbf567a0f072e8fe64a1cae1fcae76e,0xf305d719,2025/07/07 21:19:50,2025/07/07 13:19:50,0x99b21b994993f94a7d100308352bb139f3b9a8bf,0x0094331c00e7fa43388adf7a5b6c636abb3c66ab,100000000.0000000000,SUCCESS,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0x8b1b703f9654364cca9fc7940498fa5faffc927bf50acbf77a4bd3c00a087db6,0x3593564c,2025/07/07 21:20:32,2025/07/07 13:20:32,0x0094331c00e7fa43388adf7a5b6c636abb3c66ab,0x99b21b994993f94a7d100308352bb139f3b9a8bf,956.0610000000,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0xd5bb6716ce302c41a3dbe87b6a4b1d2c23c9dc66bccc83a5ed79d42166566d3c,0x3593564c,2025/07/07 21:21:05,2025/07/07 13:21:05,0x0094331c00e7fa43388adf7a5b6c636abb3c66ab,0xc44f15fb8f6d8f5ca08f355b8f121685a493c638,10957.3750000000,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0xe65049ed2c1e1d26559923f945690f41fb754b4ca9d1e074525645a16d840cb3,0x3593564c,2025/07/07 21:21:23,2025/07/07 13:21:23,0x0094331c00e7fa43388adf7a5b6c636abb3c66ab,0x7e3f11685589347d4a7f6c2b2c1688a7e728c9db,51974.7820000000,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0xbf219cc4cd11cd07456a17c4f8748e9aca91d9cee00cc1a03eec943233b96f1d,0x3593564c,2025/07/07 21:22:02,2025/07/07 13:22:02,0x0094331c00e7fa43388adf7a5b6c636abb3c66ab,0x8c15ac46a38275bdd50e18b7fbd2b2fe084d4228,1191575.6640000001,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0xfbe93ab1484a78f36443c735fad8a3301a3a6c247bc63ae911bccb46af433667,0x3593564c,2025/07/07 21:22:23,2025/07/07 13:22:23,0x0094331c00e7fa43388adf7a5b6c636abb3c66ab,0x91d53c56d422656fbfec0d51a79af14ae276f69f,1444722.7620000001,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0x7aab3280034cb07d1a594566e2d5571ad3d04c48e465b9304d9a2b0dc99cea5b,0x3593564c,2025/07/07 21:22:44,2025/07/07 13:22:44,0x0094331c00e7fa43388adf7a5b6c636abb3c66ab,0x7a9594b72c4dfc09353284eedaeca43ba559d482,921034.1030000000,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0x954e640a24e91c1a3ee97d0c0e59a66aed84bb2c196d785c0ec5333c6ab90acc,0x3593564c,2025/07/07 21:23:06,2025/07/07 13:23:06,0x0094331c00e7fa43388adf7a5b6c636abb3c66ab,0xe199ce7676596e40d54774f6629554a76a73e7d3,258240.0130000000,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0x5a2b95f3ac9a3052f49cb00bec21c7a69898da907f383f135a3dd7240cc3e91d,0x3593564c,2025/07/07 21:23:25,2025/07/07 13:23:25,0x0094331c00e7fa43388adf7a5b6c636abb3c66ab,0xdc0d9ddc51a20700136b73bce08fa60be1061728,284295.2100000000,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0x5cb71e66254432a5b9a27c7e7be011028ac05240fb2d26dbe5bbf3fa7f9c1d99,0x3593564c,2025/07/07 21:23:42,2025/07/07 13:23:42,0x0094331c00e7fa43388adf7a5b6c636abb3c66ab,0xbe3ed05407546ed0e0de9934ebcdb0ce54c36861,14954.8750000000,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0x9bfe1e249d2b432ee867beffef8c0ab5e82323917ebf500422d38c6bd3765c66,0x3593564c,2025/07/07 21:24:05,2025/07/07 13:24:05,0x0094331c00e7fa43388adf7a5b6c636abb3c66ab,0x55541c92508f731c91dd74742d62ebcd831b1210,515773.5170000000,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0x505ed3cf58e2d1e11aae047a8feb19cd561759d010c6f6339a8491feede1a6fe,0x3593564c,2025/07/07 21:24:41,2025/07/07 13:24:41,0x0094331c00e7fa43388adf7a5b6c636abb3c66ab,0xdf62ec41d0132c587397e1f4a6786fd263e1baf8,26594.4840000000,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0xdff8edf76b81f4512d234629bee81d9a506ae32f5866e63d8258efad1355ab4f,0x3593564c,2025/07/07 21:25:23,2025/07/07 13:25:23,0x0094331c00e7fa43388adf7a5b6c636abb3c66ab,0xb2a1bca0aaa3871ccb3bf2ad09b0f024f4380a88,1334399.4280000001,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0x6052cd0c990881a853cb254f422e1364521a77fcae154cac41c9c9d07b6bb972,0x3593564c,2025/07/07 21:25:57,2025/07/07 13:25:57,0x0094331c00e7fa43388adf7a5b6c636abb3c66ab,0xab38ca5b0cd8ca3c14b5441fd29293ccc70418b8,1225457.3929999999,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0x9408705458447f69d31dfe3c2a968dc22425679656511c5bb0b3a4f57534ea4f,0x3593564c,2025/07/07 21:26:35,2025/07/07 13:26:35,0x0094331c00e7fa43388adf7a5b6c636abb3c66ab,0xaaccaa6e68d3292b0c0bedd040c000f6788ea4cb,678008.2620000000,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
