tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0xe5cf0ba56fdd4fd1a672b09e1ea4b0f582c1426cf7fe7096febd180a5718f468,0xa9059cbb,2025/07/08 00:30:06,2025/07/07 16:30:06,0xaef7aa57ed4d28398ad175d746b44587366fc4de,0xe610ab3156861e9c7b70666aad09c7af4d52cb2e,1000000000.0000000000,SUCCESS,"transfer(address dst, uint256 amount)"
0x9d16c6cd8b1c1dce24384e3554ea52da4d1f22e247df47d613f93cfaae26295f,0xf305d719,2025/07/08 00:30:24,2025/07/07 16:30:24,0xe610ab3156861e9c7b70666aad09c7af4d52cb2e,0x0fef14bffd6baf7967bde0acdeaf4c38c4f19135,1000000000.0000000000,SUCCESS,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0x7bb7e17069f7568eabb7ccce72742c593fc6acc6cc08ae1462cafafb756f9851,0x3593564c,2025/07/08 00:30:55,2025/07/07 16:30:55,0x0fef14bffd6baf7967bde0acdeaf4c38c4f19135,0xe1a201af06858a94e8c1b962a2b18b1f166fd2cb,199460.2076885600,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0x415f4fc26da566daa8900f40ea4344f2ef0c6cea0e757128d7e39fd7a3208882,0x3593564c,2025/07/08 00:31:17,2025/07/07 16:31:17,0x0fef14bffd6baf7967bde0acdeaf4c38c4f19135,0x9f8fa66d1b218ee2ffc75454f71fea014462a6ff,51181.9294834600,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0x9092bb58eec65c2e28586e565ef2c9174bc7914b6709fcee1dbb8b6c4ef63acd,0x7ff36ab5,2025/07/08 00:34:37,2025/07/07 16:34:37,0x0fef14bffd6baf7967bde0acdeaf4c38c4f19135,0x072c4773ca110cd767c836063e762248ff6bfebb,3312320.6521349801,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xfc236fff4ffce4a4dee56c249bf9819798cc1356ef4bca863c73a3e5e63970bb,0x7ff36ab5,2025/07/08 00:45:00,2025/07/07 16:45:00,0x0fef14bffd6baf7967bde0acdeaf4c38c4f19135,0xb2e01592574723c9b2d6542ea0a089459b1a0bdb,3290417.4608767098,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xf8d81d833805da70c6edb364c8d5764e22cc3d6e60fb25850b63e42489a67ee5,0x7ff36ab5,2025/07/08 00:47:24,2025/07/07 16:47:24,0x0fef14bffd6baf7967bde0acdeaf4c38c4f19135,0xee651ff193635f0a9b5300175d8e9ba9b207f6d9,982883.7369803700,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xa4459cb01026050651a51a673c99b224f468301f67fc96e5c308638a4339d9b3,0x7ff36ab5,2025/07/08 00:51:12,2025/07/07 16:51:12,0x0fef14bffd6baf7967bde0acdeaf4c38c4f19135,0xec9c81ad45a5508c25439eb60bd19ccb18665daf,1307486.1371011599,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xf5e77338f545b3846cfd86072180cf9982461a569222a3ab0a4c59c0454999e7,0x7ff36ab5,2025/07/08 00:54:11,2025/07/07 16:54:11,0x0fef14bffd6baf7967bde0acdeaf4c38c4f19135,0xda5eeef71ce9892b79b0215e771153f84930a653,2604652.7376932101,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xb9ec2012c76fe7ccce8e6a9841266deee2083bc49a6dbfa2df39fbe7923f4a9f,0x7ff36ab5,2025/07/08 00:57:12,2025/07/07 16:57:12,0x0fef14bffd6baf7967bde0acdeaf4c38c4f19135,0xe7edc5d3f9416c296fc5bc8e8094830cfd3f19f8,5810657.6057553403,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x2bff4952053fbe2c1436edf5b89916a9b56ddd5c2e1b190bebad5499b366c6f5,0x7ff36ab5,2025/07/08 01:01:52,2025/07/07 17:01:52,0x0fef14bffd6baf7967bde0acdeaf4c38c4f19135,0xb7d9666844133b26e991ccd5fef74e576a21148f,961792.0594823100,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
