tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0xe39698eb18790165d0b3d5cc95ed05cfeb0fa933cbe0dec656e6c1ced751ad71,0x60806040,2025/07/08 18:12:06,2025/07/08 10:12:06,0x0000000000000000000000000000000000000000,0x8604c44fa973ce2391a853c8032bfc1297597258,4600000000.0000000000,SUCCESS,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)"
0xe3a12189e3f2522a135f40b0abb72b32eab16030cb4e1972c100b95fb98bec69,0xf305d719,2025/07/08 18:12:24,2025/07/08 10:12:24,0x8604c44fa973ce2391a853c8032bfc1297597258,0x50b3335d138775d337f653195ae6f39790cf0e57,4600000000.0000000000,SUCCESS,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0x28fa70e150ef2f076296746e83cafebf5618236a2ceec0ffa7287cc13ead98d3,0x7ff36ab5,2025/07/08 18:12:42,2025/07/08 10:12:42,0x50b3335d138775d337f653195ae6f39790cf0e57,0xfbc84d40a37e43fa7d002d5c0029a95b6c48f50c,67343937.4493463337,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xc1e593adc209d73115294ecb6b23669f4c16ee0b2f04b092a750b89ece77919d,0x3593564c,2025/07/08 18:13:00,2025/07/08 10:13:00,0x50b3335d138775d337f653195ae6f39790cf0e57,0x9f8fa66d1b218ee2ffc75454f71fea014462a6ff,351680.7774323592,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0x606aaea676f57aabab10fcd12dda8758cd288fad0947e48878989ffbe6da8e62,0x02751cec,2025/07/08 18:13:10,2025/07/08 10:13:10,0x50b3335d138775d337f653195ae6f39790cf0e57,0x10ed43c718714eb63d5aa57b78b54704e256024e,4532277633.8251056671,SUCCESS,"removeLiquidityETH(address token, uint256 liquidity, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0x606aaea676f57aabab10fcd12dda8758cd288fad0947e48878989ffbe6da8e62,0x02751cec,2025/07/08 18:13:10,2025/07/08 10:13:10,0x10ed43c718714eb63d5aa57b78b54704e256024e,0x8604c44fa973ce2391a853c8032bfc1297597258,4532277633.8251056671,SUCCESS,"removeLiquidityETH(address token, uint256 liquidity, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0xb9afff5a84901122305e1c75e6ac0704f87d8b0f5869f0fad09270e66e293674,0x181a8b99,2025/07/08 18:15:57,2025/07/08 10:15:57,0x50b3335d138775d337f653195ae6f39790cf0e57,0x426603bac5e0ea73fd13aecad7a80c9f963f6eac,13357.2356673690,SUCCESS,
0x10440497c140c21b0b68b305147520bd3e37d7b2337ffd606bc5ff523d712278,0x18cbafe5,2025/07/08 19:39:22,2025/07/08 11:39:22,0xfbc84d40a37e43fa7d002d5c0029a95b6c48f50c,0x50b3335d138775d337f653195ae6f39790cf0e57,67343937.4493463337,SUCCESS,"swapExactTokensForETH(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x5c4a7a5fc905135e9916b031d7e3715c81b11828ca2b89fe63a8b939d78d969c,0xb6f9de95,2025/07/08 19:39:27,2025/07/08 11:39:27,0x50b3335d138775d337f653195ae6f39790cf0e57,0xb21a7d6b07ad608202c5c057031a034bf4166b38,66940479.9200873673,SUCCESS,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xb04328a51910c348f454d6de098164a07ad1e3067837cb259617097c54f7f719,0xcce04763,2025/07/08 19:40:45,2025/07/08 11:40:45,0x50b3335d138775d337f653195ae6f39790cf0e57,0x18e31a59caeae97fa9a30a20df3f72a130147752,178393.7595008225,SUCCESS,
0x5f8f3940775b7b5f83590c7ddc8f1d327b8312755063b1b382f2a3f7cc1e62d8,0x181a8b99,2025/07/08 19:43:46,2025/07/08 11:43:46,0x50b3335d138775d337f653195ae6f39790cf0e57,0x426603bac5e0ea73fd13aecad7a80c9f963f6eac,418.2284716027,SUCCESS,
