tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0x2029a46793cdb8a25b6b20079a3e13fa6426d434f00940fea6229a4bd8699326,0x60806040,2025/07/08 02:48:25,2025/07/07 18:48:25,0x0000000000000000000000000000000000000000,0x817759b063356a4a87985ffe601abe08fa5dad07,6700000000.0000000000,SUCCESS,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)"
0x1142ee0e07c567ab3350ed57d41e8ef3e80e45d272e4b3fa4ad315865edcdb44,0xf305d719,2025/07/08 02:50:33,2025/07/07 18:50:33,0x817759b063356a4a87985ffe601abe08fa5dad07,0x2638ffb2fbde283d9f56767cf773bc4541527848,6700000000.0000000000,SUCCESS,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0x2cf62971e809ed7247800245630cdca1b106afd5ef9a64b63647cb7a1caec161,0x7ff36ab5,2025/07/08 02:50:51,2025/07/07 18:50:51,0x2638ffb2fbde283d9f56767cf773bc4541527848,0xfbc84d40a37e43fa7d002d5c0029a95b6c48f50c,51034137.4777892306,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xa45c0a19198961eacb532c3dd3fc8a2cc9e65866e4f6a8e18e95eee3c18107ee,0x7ff36ab5,2025/07/08 02:52:31,2025/07/07 18:52:31,0x2638ffb2fbde283d9f56767cf773bc4541527848,0xc85e26a15afed3cd8d2e8f6e93cf90ad273c5b9a,76225789.4731110036,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x65118ab3ee5d1de4fd6a6c43d82035b7c8a6fc0ce8813d789fb9fdae19596fc9,0x7ff36ab5,2025/07/08 02:53:00,2025/07/07 18:53:00,0x2638ffb2fbde283d9f56767cf773bc4541527848,0x155384f5c0c2dc50f064d8f0ce5c4e44a0d9c3a8,95339564.7947190404,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xfb989c989d1166772a9bc30823df459b2f693e5d7ade9c8427fd051fabf392e6,0x2213bc0b,2025/07/08 02:54:05,2025/07/07 18:54:05,0x2638ffb2fbde283d9f56767cf773bc4541527848,0x779a74436eda060911b2c4f209d34ea155f3df09,13176235.7023122087,SUCCESS,
0xfb989c989d1166772a9bc30823df459b2f693e5d7ade9c8427fd051fabf392e6,0x2213bc0b,2025/07/08 02:54:05,2025/07/07 18:54:05,0x779a74436eda060911b2c4f209d34ea155f3df09,0xce27a49419582bc51b97a991a751eb0ee2361cde,13176235.7023122087,SUCCESS,
0x54067c33f813c19265d95ad4f8f104579857986b576345fcfaad21d9e5186373,0x02751cec,2025/07/08 02:54:15,2025/07/07 18:54:15,0x2638ffb2fbde283d9f56767cf773bc4541527848,0x10ed43c718714eb63d5aa57b78b54704e256024e,6464131940.6774044037,SUCCESS,"removeLiquidityETH(address token, uint256 liquidity, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0x54067c33f813c19265d95ad4f8f104579857986b576345fcfaad21d9e5186373,0x02751cec,2025/07/08 02:54:15,2025/07/07 18:54:15,0x10ed43c718714eb63d5aa57b78b54704e256024e,0x817759b063356a4a87985ffe601abe08fa5dad07,6464131940.6774044037,SUCCESS,"removeLiquidityETH(address token, uint256 liquidity, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0x2e5edf42cc09063e274da9ceed82f432a6826edf9e4c115bdf7a371fc551e8d9,0x181a8b99,2025/07/08 02:57:40,2025/07/07 18:57:40,0x2638ffb2fbde283d9f56767cf773bc4541527848,0x426603bac5e0ea73fd13aecad7a80c9f963f6eac,6114.3783681517,SUCCESS,
0xf6799518a95f2a54fcb6048be240f317d54f5b169345d1ae04e882944bdd718c,0x18cbafe5,2025/07/08 03:10:33,2025/07/07 19:10:33,0xfbc84d40a37e43fa7d002d5c0029a95b6c48f50c,0x2638ffb2fbde283d9f56767cf773bc4541527848,51034137.4777892306,SUCCESS,"swapExactTokensForETH(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xcc74201e2cf5b69270c989ffc9cd7f5e38d9ec55863abc9e283a38a88b60ef5e,0xb6f9de95,2025/07/08 03:10:39,2025/07/07 19:10:39,0x2638ffb2fbde283d9f56767cf773bc4541527848,0xb21a7d6b07ad608202c5c057031a034bf4166b38,49847435.1790202111,SUCCESS,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x44ae3f19e5bb6cc61fe8950fe39e6e7d63311b527a033ca6666ab66175911e62,0xcce04763,2025/07/08 03:11:06,2025/07/07 19:11:06,0x2638ffb2fbde283d9f56767cf773bc4541527848,0x18e31a59caeae97fa9a30a20df3f72a130147752,544756.8804764753,SUCCESS,
0xc5e6089175f90a6a4c162f99a2a983a001648b27f2c641c24fd6da44cdc4aeb3,0x7ff36ab5,2025/07/08 03:12:33,2025/07/07 19:12:33,0x2638ffb2fbde283d9f56767cf773bc4541527848,0x29a4b61a493ca34ab367594594a730fddd131bfa,260144.1692566581,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x6aae4d02a4c07efe41316db84ecb8ac06cf9eda882d0c4582569fef0a620bcab,0x181a8b99,2025/07/08 03:13:39,2025/07/07 19:13:39,0x2638ffb2fbde283d9f56767cf773bc4541527848,0x426603bac5e0ea73fd13aecad7a80c9f963f6eac,2113.6079760086,SUCCESS,
