tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0x837848e2a1b933331cc04781050ea7af1cc824e59faee627223339f60fcee8cc,0xa9059cbb,2025/07/08 01:43:51,2025/07/07 17:43:51,0x4078a16380b88c62ab849666d9f0104c58ba7db5,0xe610ab3156861e9c7b70666aad09c7af4d52cb2e,1000000000.0000000000,SUCCESS,"transfer(address dst, uint256 amount)"
0xbf5410901b1690f35c036b191f7c723965d1515735a2ce918b8f5053ede250d8,0xf305d719,2025/07/08 01:44:36,2025/07/07 17:44:36,0xe610ab3156861e9c7b70666aad09c7af4d52cb2e,0x6a024f2becb83b780e2817c51b5a07fc8c7f616a,1000000000.0000000000,SUCCESS,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0x7e7abe3c46aa51fe468bedd6e400252dc7c24c33a0718ca6c1ba48df6494bc47,0x3593564c,2025/07/08 01:44:59,2025/07/07 17:44:59,0x6a024f2becb83b780e2817c51b5a07fc8c7f616a,0xe1a201af06858a94e8c1b962a2b18b1f166fd2cb,1195568.9040218799,SUCCESS,"execute(bytes commands,bytes[] inputs,uint256 deadline)"
0x20e912a0c103e96bbd6e2726914b1e8ae7398d7c665a79a449f36a27c27d3245,0xb6f9de95,2025/07/08 01:45:18,2025/07/07 17:45:18,0x6a024f2becb83b780e2817c51b5a07fc8c7f616a,0x209c04ee83b807670dddc1304aa1faf073200000,3980.4372734000,SUCCESS,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x5ca7b1217a1cb9e10594edf497e2f41445da72fe56db0b52ee9d5392a6ff1bf5,0x7ff36ab5,2025/07/08 01:49:27,2025/07/07 17:49:27,0x6a024f2becb83b780e2817c51b5a07fc8c7f616a,0xe49fbb8ef0728cd8ae3be5fea655ada3b8170c98,47394318.1022576690,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x3e6f754692b4a587c55ea2b2a8fa7d84d0283eba1b8d4a938c83acb975940daf,0x7ff36ab5,2025/07/08 01:51:48,2025/07/07 17:51:48,0x6a024f2becb83b780e2817c51b5a07fc8c7f616a,0xec9c81ad45a5508c25439eb60bd19ccb18665daf,4313794.5767394695,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x4bed024946f2e78c1af5f785f5b1116f6e3f7e3a0bef81c84c4a3b5af879307d,0x7ff36ab5,2025/07/08 01:53:23,2025/07/07 17:53:23,0x6a024f2becb83b780e2817c51b5a07fc8c7f616a,0x82e1eaac54e9207d5c0c437156c3c2f6a13ca3e6,259717391.0545285940,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x3e14cbd4c32b176e6a2cca112cf8d7e0a07a10522719b3c83f17ded1b5b02890,0x7ff36ab5,2025/07/08 01:54:25,2025/07/07 17:54:25,0x6a024f2becb83b780e2817c51b5a07fc8c7f616a,0x24815d90f2426c875db55a265e500e4130b63d96,97060973.2511471361,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xa9e34abb199a9106469083abc42c41cd3ea468ce9d5e8e5f361802ea2eb308da,0x18cbafe5,2025/07/08 01:56:05,2025/07/07 17:56:05,0x82e1eaac54e9207d5c0c437156c3c2f6a13ca3e6,0x6a024f2becb83b780e2817c51b5a07fc8c7f616a,259717391.0545285940,SUCCESS,"swapExactTokensForETH(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x0c9fb0b020dd80bef49a088f523a7912487b725f5b277cf667484b648caa064c,0x7ff36ab5,2025/07/08 01:57:29,2025/07/07 17:57:29,0x6a024f2becb83b780e2817c51b5a07fc8c7f616a,0x2f4d3e17b82f4cacaf76b8868d1ba59e62d79f41,8545434.7589806095,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x9dc6c2f767eba0b1846be5a43f86aecc946adb7457af54e7e0a82af65b42b1ab,0x7ff36ab5,2025/07/08 01:58:36,2025/07/07 17:58:36,0x6a024f2becb83b780e2817c51b5a07fc8c7f616a,0x3cf8dabcaa1da7f24b20cc2dccadc8c16285953c,20629814.2110377289,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xe3cc19d70608b0fc5b9e33f6d8d1df07ff759bf14bd14b5d7500c4de77f2af36,0x7ff36ab5,2025/07/08 02:00:13,2025/07/07 18:00:13,0x6a024f2becb83b780e2817c51b5a07fc8c7f616a,0xda5eeef71ce9892b79b0215e771153f84930a653,134587804.0519353449,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xbd31adbf59404b04fb269430d1c2608ead7b36d38d7f341aff2710c6e8614d34,0x7ff36ab5,2025/07/08 02:01:36,2025/07/07 18:01:36,0x6a024f2becb83b780e2817c51b5a07fc8c7f616a,0x0395f37fee3c6d9532d6a5935302bbd6d249e52e,55164510.1407963187,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xe04ee3384b4d152d8ffaf9f327e774accc2a41204513653fe4c384272abe32ce,0x7ff36ab5,2025/07/08 02:02:07,2025/07/07 18:02:07,0x6a024f2becb83b780e2817c51b5a07fc8c7f616a,0xc690a49aac9f39ccd97b4b7d89d3e81bcd1bf791,94361016.7771639973,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x2945f0344f612ce9b27cef1564ea1df30d8aac383f1bab0566ec0c4bfea59f20,0x7ff36ab5,2025/07/08 02:02:52,2025/07/07 18:02:52,0x6a024f2becb83b780e2817c51b5a07fc8c7f616a,0x562e9ece3c2941ddc2934c445c31abf212810cfa,69791240.6587092131,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x60d1ebf227559a4f9c2b78e9584059c6b4f7593ba7203a0a5cc6eaaf0111c3c0,0x18cbafe5,2025/07/08 02:04:40,2025/07/07 18:04:40,0xda5eeef71ce9892b79b0215e771153f84930a653,0x6a024f2becb83b780e2817c51b5a07fc8c7f616a,134587804.0519353449,SUCCESS,"swapExactTokensForETH(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xf21818c41079cbbfe3649881429c1354da75ae1dc52d34f732f09e429260d5b4,0x7ff36ab5,2025/07/08 02:05:51,2025/07/07 18:05:51,0x6a024f2becb83b780e2817c51b5a07fc8c7f616a,0xe49fbb8ef0728cd8ae3be5fea655ada3b8170c98,7947316.0181321697,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xadad3db1144dd1315828a694cb5ccdcada612044eab1714110ceaf5d6c9e5c01,0x7ff36ab5,2025/07/08 02:07:13,2025/07/07 18:07:13,0x6a024f2becb83b780e2817c51b5a07fc8c7f616a,0x1de4986946f0d8787340d9c97e34aff314ead72b,5549106.4459698200,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x81331298c524e31c710d84e02fcf281a2e788ab6c809c955be7dc3438b4fcadb,0x18cbafe5,2025/07/08 02:08:55,2025/07/07 18:08:55,0x562e9ece3c2941ddc2934c445c31abf212810cfa,0x6a024f2becb83b780e2817c51b5a07fc8c7f616a,69791240.6587092131,SUCCESS,"swapExactTokensForETH(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x33bfcb37832b9babeedc992403fe71656042ed045caa6c3af3b642c511767bac,0x7ff36ab5,2025/07/08 02:10:24,2025/07/07 18:10:24,0x6a024f2becb83b780e2817c51b5a07fc8c7f616a,0x41d91c20a61464c72b68f1b941d23ac39355609e,1184240.7720614900,SUCCESS,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)"
