tx_hash,method,local_time,utc_time,sender,receiver,amount,status,functionName
0x7928c8f401a41db012c02b3ed3ae07830881e5797b5f1e69fd8b504c27b4fb8e,0x60806040,2025/07/08 18:12:58,2025/07/08 10:12:58,0x0000000000000000000000000000000000000000,0x5cddcf4362735f6d7d162eb47159b3fee796680b,1000000.0000000000,SUCCESS,"atInversebrah(int248 a, uint48[] b, uint32 c, bytes20[] d, bytes30[] e)"
0x03e34e74b65dbc30b562076cfc67ba4005a5325791ee38e30a38d32395b0b844,0xf305d719,2025/07/08 18:13:04,2025/07/08 10:13:04,0x5cddcf4362735f6d7d162eb47159b3fee796680b,0x195958d77607d3cc1e90695b6467097352f502fc,1000000.0000000000,SUCCESS,"addLiquidityETH(address token, uint256 amountTokenDesired, uint256 amountTokenMin, uint256 amountETHMin, address to, uint256 deadline)"
0x14f81a7bc5ecfd9f4b57019ada1f2f32d294aeceb26ac3dcd733803e2e3dce46,0x38ed1739,2025/07/08 18:13:47,2025/07/08 10:13:47,0x195958d77607d3cc1e90695b6467097352f502fc,0xb4c19942f5a7fec3a2fd69cb48745c27a7ef5d29,26568.9191790898,SUCCESS,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x9402c4792707af0f316fb26472ca6ccdeed9bb86370ab9a3b86f6e839d4ec136,0x38ed1739,2025/07/08 18:14:01,2025/07/08 10:14:01,0x195958d77607d3cc1e90695b6467097352f502fc,0xc4d05f8d65107e5689fba98c7df0de1cf7344554,24092.0944523645,SUCCESS,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xb18c1706c7e578f22430901424a90b17ddad8c243b972fe9904b1be36e3120f9,0x38ed1739,2025/07/08 18:14:26,2025/07/08 10:14:26,0x195958d77607d3cc1e90695b6467097352f502fc,0x874f112d6b1d68fb6a546104e7742d90d84252a7,17036.9676216521,SUCCESS,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xdf32d4ea8132a5a2933956beba57a638d42be4261fa0fd17d6e82ae6db2295b0,0x38ed1739,2025/07/08 18:14:39,2025/07/08 10:14:39,0x195958d77607d3cc1e90695b6467097352f502fc,0xdf47a9d06f98b3caf309ea6677d187ac8b7b1953,21210.3186020421,SUCCESS,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0x21215d802bb756906a6c28e01f87c2438f429f4ab805a3a47dcc8859349750f5,0x5c11d795,2025/07/08 18:15:00,2025/07/08 10:15:00,0xb4c19942f5a7fec3a2fd69cb48745c27a7ef5d29,0x195958d77607d3cc1e90695b6467097352f502fc,15628.7759876999,SUCCESS,"swapExactTokensForTokensSupportingFeeOnTransferTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xb37df7bcd22d9de4843702e93f6cd5ec2b68b008bb724e553842b54581113956,0x5c11d795,2025/07/08 18:15:18,2025/07/08 10:15:18,0xdf47a9d06f98b3caf309ea6677d187ac8b7b1953,0x195958d77607d3cc1e90695b6467097352f502fc,12476.6580012012,SUCCESS,"swapExactTokensForTokensSupportingFeeOnTransferTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
0xa903cdae3012037b63e9e402c6d9f18bfc9604e9774dc7366c512a623e31077c,0x088890dc,2025/07/08 18:15:20,2025/07/08 10:15:20,0x195958d77607d3cc1e90695b6467097352f502fc,0x1f2d955cc70c8ae5f9e0656c51ce321d69a32873,1646.3904247870,SUCCESS,"swapExactETHForTokensSupportingFeeOnTransferTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline, address referrer)"
0xfdc10f192588aa924eaa2c6ab4675921382ef68520f0f55f0ec0426ac7506603,0x38ed1739,2025/07/08 18:15:33,2025/07/08 10:15:33,0x195958d77607d3cc1e90695b6467097352f502fc,0xd40a5731d0840af23f7f3c7eb34a46172d336878,22322.0954437034,SUCCESS,"swapExactTokensForTokens(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)"
